軸名,利用可否,ボード番号(基本は1枚)
UD_JIKU,TRUE,1
ROT_JIKU,TRUE,1
YSTG_JIKU,TRUE,1
XSTG_JIKU,TRUE,1
TILT_JIKU,FALSE,1
TILTROT_JIKU,FALSE,1
PHM_JIKU,FALSE,1
XRAYUD_JIKU,FALSE,1
DETUD_JIKU,FALSE,1
SYNCUD_JIKU,FALSE,1
